video_id,channelId,title,categoryId,publishedAt,view_count,likes,comment_count,sampled_comments,sample_coverage_ratio,owner_top_comments,total_top_comments,owner_replies,total_replies,threads_with_owner_reply,owner_comments_total,audience_comments_total,all_comments_total,owner_engagement_share,response_rate,label_success_views_q75,label_success_likes_q75,likes_per_view_ratio,label_success_lpv_q75,log_owner_engagement_share,log_response_rate
MYvFYES1wew,UC8FHFLWe9KkG0eoxPMIgcpg,Fredo Bang - Clock Out (Official Video),10.0,2020-08-20 23:00:12+00:00,837171.0,40046.0,5189.0,221.0,0.0425900944305261,1.0,149.0,0.0,72.0,0.0,1.0,220.0,221.0,0.004524886877828,0.0,0,0,0.04783491066938535,0,0.004514680354526575,0.0
TxymCFJWAl8,UCP1iRaFlS5EYjJBryFV9JPw,Sneaky Details You Missed In The Batman Trailer,24.0,2020-08-23 20:00:06+00:00,295452.0,5978.0,602.0,344.0,0.5714285714285714,1.0,248.0,0.0,96.0,0.0,1.0,343.0,344.0,0.002906976744186,0.0,0,0,0.02023340508779768,0,0.0029027596579613586,0.0
RfZVnGZVV4s,UC6hTJRVn3Cm-NcRAQTB58eA,El Flash - Nivel Codiciado Ft. Tony Loya,10.0,2020-08-20 22:30:10+00:00,629567.0,27359.0,1421.0,150.0,0.1055594651653765,1.0,1.0,0.0,149.0,0.0,1.0,149.0,150.0,0.0066666666666666,0.0,0,0,0.04345685209040499,0,0.0066445427186685125,0.0
37XLHvZgU4Q,UCQ99CmIeeIL6CNR6vHAf9Wg,BTS (방탄소년단) 'Dynamite' Official MV (Reaction),24.0,2020-08-22 04:00:09+00:00,547133.0,59834.0,3253.0,338.0,0.1039040885336612,1.0,249.0,0.0,89.0,0.0,1.0,337.0,338.0,0.0029585798816568,0.0,0,0,0.10935915033456216,1,0.0029542118974314737,0.0
GVpEfA1-p9s,UC_vl8cSXLBi1tVegCKMRtTw,NFL Players React to their Madden '21 Ratings!,17.0,2020-08-21 17:19:58+00:00,535124.0,12374.0,961.0,262.0,0.2726326742976067,0.0,250.0,0.0,12.0,0.0,0.0,262.0,262.0,0.0,0.0,0,0,0.023123612471128187,0,0.0,0.0
RftAgxejgg4,UCm7gu9KfQ6oAg0Z1halgEnA,Fivio Foreign - 13 Going On 30 (Official Video),22.0,2020-08-21 04:16:44+00:00,928775.0,59287.0,3161.0,282.0,0.0892122745966466,0.0,245.0,0.0,37.0,0.0,0.0,282.0,282.0,0.0,0.0,0,0,0.06383354418454416,0,0.0,0.0
SWc-_NYzi6o,UC49ta0RHXJUiID5KWRkcySw,BTS Plays the BFF Speed Round,24.0,2020-08-21 20:56:05+00:00,1750842.0,183808.0,7410.0,315.0,0.0425101214574898,1.0,248.0,0.0,67.0,0.0,1.0,314.0,315.0,0.0031746031746031,0.0,0,1,0.10498263121401018,1,0.003169574761278976,0.0
6g0P65dhYsY,UCJf6Ne01jABtlWt8qwQpuww,Amenazzy x Rochy RD - Tu Aroma (Official Video),10.0,2020-08-21 16:00:09+00:00,3195426.0,136893.0,6274.0,387.0,0.0616831367548613,1.0,241.0,0.0,146.0,0.0,1.0,386.0,387.0,0.0025839793281653,0.0,1,1,0.04284029735002469,0,0.0025806465934915604,0.0
GfsLT7W80AE,UCniqtXw3nZho_0HEO5IBqvg,Madison Beer - Baby (Official Music Video),10.0,2020-08-21 07:00:04+00:00,3613069.0,185870.0,26542.0,313.0,0.011792630547811,0.0,236.0,0.0,77.0,0.0,0.0,313.0,313.0,0.0,0.0,1,1,0.051443800270628656,0,0.0,0.0
MyG7b30qaRY,UCfgsFOdVScKetBXYrFNr5LQ,A Boogie Wit Da Hoodie - It's Crazy (feat. Melody),10.0,2020-08-20 20:00:09+00:00,1364906.0,99636.0,3376.0,299.0,0.0885663507109004,0.0,245.0,0.0,54.0,0.0,0.0,299.0,299.0,0.0,0.0,0,0,0.07299843359176383,0,0.0,0.0
